enterprise_value_q,cost_of_equity,used_growth_rate,levered_wacc,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax,ev_sales_valuation,ebitda_valuation
276929243.10,0.13,0.01,0.07,127582000.00,79275000.00,58799689.90,53469586.40,303611036.20,229225054.70
299079543.20,0.13,-0.01,0.09,-48114000.00,-22835000.00,-45233660.00,11176230.00,256702612.90,-94822947.81
299079543.20,0.12,0.00,0.06,-3187000.00,-2031000.00,9400930.00,33052853.70,373050640.10,205784023.90
299079543.20,0.13,0.00,0.07,-12078000.00,33750000.00,-9063400.00,35579275.00,501437194.40,350769168.40
299079543.20,0.13,-0.02,0.09,74534000.00,-40631000.00,78392950.00,13537480.00,405417738.80,-198726193.70
324851959.20,0.13,-0.01,0.09,-10762000.00,-29057000.00,-7918790.00,20403780.00,232809745.70,-122784953.80
324851959.20,0.12,0.01,0.06,-47373000.00,39728000.00,-44898902.20,22121132.80,359082066.50,592270988.60
324851959.20,0.13,0.01,0.06,36516000.00,46482000.00,38295666.40,22040620.30,441146234.70,560605676.70
324851959.20,0.12,0.01,0.06,78349000.00,21893000.00,81806587.40,49631716.20,361484037.30,673846927.30
361616825.20,0.13,-0.01,0.09,-706000.00,-14703000.00,2361840.00,29530700.00,425903030.00,48034481.26
361616825.20,0.12,0.00,0.07,-42173000.00,42788000.00,-39546885.00,10472607.00,576900581.90,271830595.00
361616825.20,0.12,0.02,0.06,57149000.00,89216000.00,59361975.00,8886105.00,761485012.70,548062566.50
361616825.20,0.12,0.01,0.07,66976000.00,24755000.00,85497773.40,49784463.00,638640199.50,513787343.10
481958594.40,0.13,-0.01,0.09,12109000.00,-47621000.00,15767710.00,52882360.00,702205624.20,4316368.56
481958594.40,0.12,0.01,0.06,-21395000.00,39187000.00,-18181489.30,21456151.30,966064039.00,431626578.90
481958594.40,0.12,0.02,0.06,48237000.00,69016000.00,51584100.80,40484190.40,1284569446.00,760266659.40
481958594.40,0.11,0.01,0.06,97194000.00,7747000.00,110337745.60,50669207.60,1065297570.00,489486471.80
556409778.00,0.12,-0.01,0.09,32398000.00,-63406000.00,35814970.00,41165030.00,777905604.80,-192586447.50
556409778.00,0.11,0.00,0.06,22721000.00,25412000.00,25684384.00,36314940.00,1267024549.00,422132694.90
556409778.00,0.12,0.02,0.06,57446000.00,77108000.00,60515174.00,50170454.90,1589568061.00,889491708.70
556409778.00,0.11,0.01,0.06,71123000.00,36582000.00,89359434.70,50345565.30,1330733424.00,663767834.40
421597485.30,0.12,-0.01,0.09,-23578000.00,-55843000.00,-20404350.00,63827990.00,843176109.90,20829863.70
421597485.30,0.14,0.00,0.09,85900000.00,46349000.00,-16819630.00,104703060.00,1207967387.00,223363714.10
421597485.30,0.13,0.02,0.07,130173000.00,280598000.00,136922980.00,-99761160.00,1579840770.00,897678302.60
421597485.30,0.12,0.00,0.07,38084000.00,-1944000.00,92913697.70,33772062.80,1335490180.00,416353446.20
500278949.20,0.13,-0.01,0.09,-14209000.00,-72617000.00,-9135940.00,62450250.00,1101299605.00,-90274627.38
567553207.10,0.14,-0.04,0.09,-1165000.00,-157673000.00,-31439180.00,60101980.00,1402902044.00,-767877855.80
383115978.80,0.14,0.01,0.07,63657000.00,86819000.00,79895345.00,8098855.00,1933419135.00,495842456.50
678982904.70,0.10,0.01,0.09,-13000000.00,125000000.00,-13000000.00,47002200.00,1643488120.00,998408096.00
526446937.50,0.10,0.01,0.09,10000000.00,2338000000.00,11403800.00,-2162598600.00,1715246052.00,1006798080.00
978702288.50,0.10,0.01,0.06,9000000.00,57000000.00,11300000.00,67300000.00,1347687654.00,466521066.00
978702288.50,0.10,0.02,0.06,438000000.00,135000000.00,445028500.00,104026000.00,1368177014.00,914192796.00
978702288.50,0.10,0.02,0.06,124000000.00,80000000.00,131078700.00,143084700.00,1257534470.00,749261106.00
978702288.50,0.10,0.01,0.06,31000000.00,-389000000.00,38170500.00,578164800.00,1199652028.00,683288430.00
831689949.40,0.10,0.02,0.07,251000000.00,56000000.00,255134000.00,192137600.00,1253634767.00,885065662.00
831689949.40,0.10,0.02,0.07,9000000.00,165000000.00,22597000.00,64593600.00,1327092039.00,962286156.00
